iter: 3880   # psnr: 29.5279  # ssim: 0.9660  
iter: 3890   # psnr: 29.2953  # ssim: 0.9678  
iter: 3900   # psnr: 29.5305  # ssim: 0.9697  
iter: 3910   # psnr: 28.4281  # ssim: 0.9662  
iter: 3920   # psnr: 29.8054  # ssim: 0.9705  
iter: 3930   # psnr: 27.9039  # ssim: 0.9659  
iter: 3940   # psnr: 29.5170  # ssim: 0.9712  
iter: 3950   # psnr: 29.3048  # ssim: 0.9663  
iter: 3960   # psnr: 29.3679  # ssim: 0.9681  
iter: 3970   # psnr: 28.9620  # ssim: 0.9684  
iter: 3980   # psnr: 29.0251  # ssim: 0.9665  
iter: 3990   # psnr: 29.2095  # ssim: 0.9644  
iter: 4000   # psnr: 28.8958  # ssim: 0.9684  
iter: 4010   # psnr: 28.3589  # ssim: 0.9632  
iter: 4020   # psnr: 29.1138  # ssim: 0.9711  
iter: 4030   # psnr: 29.2012  # ssim: 0.9672  
iter: 4040   # psnr: 29.5274  # ssim: 0.9695  
iter: 4050   # psnr: 29.2202  # ssim: 0.9704  
iter: 4060   # psnr: 29.1640  # ssim: 0.9703  
iter: 4070   # psnr: 29.3267  # ssim: 0.9710  
iter: 4080   # psnr: 28.1905  # ssim: 0.9610  
iter: 4090   # psnr: 29.6916  # ssim: 0.9736  
iter: 4100   # psnr: 29.3057  # ssim: 0.9717  
iter: 4110   # psnr: 29.2773  # ssim: 0.9682  
iter: 4120   # psnr: 27.3134  # ssim: 0.9666  
iter: 4130   # psnr: 29.6290  # ssim: 0.9695  
iter: 4140   # psnr: 28.3042  # ssim: 0.9653  
iter: 4150   # psnr: 28.6449  # ssim: 0.9646  
iter: 4160   # psnr: 29.3213  # ssim: 0.9684  
iter: 4170   # psnr: 28.5123  # ssim: 0.9665  
iter: 4180   # psnr: 29.1780  # ssim: 0.9698  
iter: 4190   # psnr: 29.1785  # ssim: 0.9685  
iter: 4200   # psnr: 28.8731  # ssim: 0.9668  
iter: 4210   # psnr: 29.5256  # ssim: 0.9726  
iter: 4220   # psnr: 28.8718  # ssim: 0.9691  
iter: 4230   # psnr: 28.8833  # ssim: 0.9658  
iter: 4240   # psnr: 29.0151  # ssim: 0.9685  
iter: 4250   # psnr: 29.7921  # ssim: 0.9694  
iter: 4260   # psnr: 28.4997  # ssim: 0.9614  
iter: 4270   # psnr: 29.0926  # ssim: 0.9678  
iter: 4280   # psnr: 29.3071  # ssim: 0.9702  
iter: 4290   # psnr: 28.6042  # ssim: 0.9670  
iter: 4300   # psnr: 29.2944  # ssim: 0.9720  
iter: 4310   # psnr: 28.9260  # ssim: 0.9668  
iter: 4320   # psnr: 28.7167  # ssim: 0.9658  
iter: 4330   # psnr: 29.3076  # ssim: 0.9681  
iter: 4340   # psnr: 29.3165  # ssim: 0.9722  
iter: 4350   # psnr: 29.4696  # ssim: 0.9716  
iter: 4360   # psnr: 29.3354  # ssim: 0.9717  
iter: 4370   # psnr: 28.9444  # ssim: 0.9683  
iter: 4380   # psnr: 28.8101  # ssim: 0.9720  
iter: 4390   # psnr: 28.3138  # ssim: 0.9691  
iter: 4400   # psnr: 28.5862  # ssim: 0.9650  
iter: 4410   # psnr: 28.6727  # ssim: 0.9693  
iter: 4420   # psnr: 29.7654  # ssim: 0.9734  
iter: 4430   # psnr: 29.1533  # ssim: 0.9685  
iter: 4440   # psnr: 29.4827  # ssim: 0.9691  
iter: 4450   # psnr: 29.7917  # ssim: 0.9718  
iter: 4460   # psnr: 29.2605  # ssim: 0.9716  
iter: 4470   # psnr: 29.5560  # ssim: 0.9741  
iter: 4480   # psnr: 28.9572  # ssim: 0.9695  
iter: 4490   # psnr: 29.6280  # ssim: 0.9736  
iter: 4500   # psnr: 29.2528  # ssim: 0.9692  
iter: 4510   # psnr: 29.5345  # ssim: 0.9733  
iter: 4520   # psnr: 28.1211  # ssim: 0.9649  
iter: 4530   # psnr: 29.4635  # ssim: 0.9728  
iter: 4540   # psnr: 29.1905  # ssim: 0.9721  
iter: 4550   # psnr: 29.6048  # ssim: 0.9729  
iter: 4560   # psnr: 27.8714  # ssim: 0.9625  
iter: 4570   # psnr: 28.6769  # ssim: 0.9698  
iter: 4580   # psnr: 29.6861  # ssim: 0.9732  
iter: 4590   # psnr: 29.5128  # ssim: 0.9731  
iter: 4600   # psnr: 29.8131  # ssim: 0.9738  
iter: 4610   # psnr: 28.8615  # ssim: 0.9680  
iter: 4620   # psnr: 29.6091  # ssim: 0.9738  
